STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-TOTAL ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-WTotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-WTotl,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-WTotl,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-WTotl
CA,06,Glenn County,021,06021,2010,28.122,17.820,0.450,18.270,4.34,0.00,4.34,0.08,0.00,0.08,4.42,0.00,4.42,9.852,0.66,0.07,0.73,74,2.65,145,3.38,0.27,0.00,0.27,0.00,0.00,0.00,0.27,0.00,0.27,224.65,374.21,598.86,26.47,85.82,112.91,225.20,224.62,374.19,598.81,26.42,85.82,112.91,225.15,0.03,0.02,0.05,0.05,0.00,0.00,0.05,0.92,1.17,2.09,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.26,0.26,0.00,0.00,0.00,0.00,0.26,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230.84,0.26,231.10,375.53,0.00,375.53,606.37,0.26,606.63
CA,06,Humboldt County,023,06023,2010,134.623,21.424,102.877,124.301,3.54,0.00,3.54,12.68,0.00,12.68,16.22,0.00,16.22,10.322,0.44,0.24,0.68,66,9.18,74,9.86,0.48,0.00,0.48,0.00,0.00,0.00,0.48,0.00,0.48,36.46,2.11,38.57,25.04,0.00,2.28,27.32,35.82,1.67,37.49,24.26,0.00,2.28,26.54,0.64,0.44,1.08,0.78,0.00,0.00,0.78,0.74,0.95,1.69,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.09,0.15,0.24,0.03,0.00,0.03,0.12,0.15,0.27,0.00,0.00,0.00,0.00,56.07,56.07,0.00,56.07,56.07,500.74,0.00,0.00,0.00,0.00,56.07,56.07,0.00,56.07,56.07,375.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,124.98,41.75,0.15,41.90,16.01,56.07,72.08,57.76,56.22,113.98
CA,06,Imperial County,025,06025,2010,174.528,5.270,151.080,156.350,1.95,0.00,1.95,30.27,0.00,30.27,32.22,0.00,32.22,18.178,0.28,0.30,0.58,32,18.03,115,18.61,1.20,0.00,1.20,0.00,0.00,0.00,1.20,0.00,1.20,11.47,1077.05,1088.52,0.29,16.74,541.14,558.17,10.88,1076.64,1087.52,0.00,16.74,541.14,557.88,0.59,0.41,1.00,0.29,0.00,0.00,0.29,4.99,2.20,7.19,10.28,,10.28,0.57,,0.57,10.85,0.00,10.85,6.18,0.00,6.18,0.00,0.00,0.00,6.18,0.00,6.18,0.00,0.00,0.00,22.50,0.00,22.50,22.50,0.00,22.50,3810.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.50,0.00,22.50,22.50,0.00,22.50,3810.89,36.35,0.00,36.35,1132.89,0.00,1132.89,1169.24,0.00,1169.24
CA,06,Inyo County,027,06027,2010,18.546,16.870,0.060,16.930,5.70,0.00,5.70,0.01,0.00,0.01,5.71,0.00,5.71,1.616,0.09,0.03,0.12,74,2.19,129,2.31,0.09,0.00,0.09,0.00,0.00,0.00,0.09,0.00,0.09,54.94,27.13,82.07,0.25,0.00,22.16,22.41,54.57,26.88,81.45,0.00,0.00,22.16,22.16,0.37,0.25,0.62,0.25,0.00,0.00,0.25,0.10,0.13,0.23,9.20,,9.20,3.38,,3.38,12.58,0.00,12.58,0.00,0.00,0.00,1.29,0.00,1.29,1.29,0.00,1.29,0.00,9.48,9.48,0.00,0.00,0.00,0.00,9.48,9.48,1600.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.48,9.48,0.00,0.00,0.00,0.00,9.48,9.48,1600.81,70.12,9.48,79.60,31.97,0.00,31.97,102.09,9.48,111.57
CA,06,Kern County,029,06029,2010,839.631,712.400,73.160,785.560,167.81,0.00,167.81,58.19,0.00,58.19,226.00,0.00,226.00,54.071,2.09,0.19,2.28,42,134.02,171,136.30,2.46,0.00,2.46,0.00,0.00,0.00,2.46,0.00,2.46,780.35,1029.79,1810.14,58.35,340.08,339.36,737.79,773.10,1024.81,1797.91,55.09,340.08,339.36,734.53,7.25,4.98,12.23,3.26,0.00,0.00,3.26,5.22,6.64,11.86,4.21,,4.21,0.00,,0.00,4.21,0.00,4.21,4.27,88.39,92.66,0.00,0.00,0.00,4.27,88.39,92.66,6.99,0.00,6.99,3.29,0.00,3.29,10.28,0.00,10.28,10543.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.99,0.00,6.99,3.29,0.00,3.29,10.28,0.00,10.28,10543.72,973.40,88.39,1061.79,1098.10,0.00,1098.10,2071.50,88.39,2159.89
CA,06,Kings County,031,06031,2010,152.982,113.960,23.770,137.730,24.60,0.00,24.60,4.32,0.00,4.32,28.92,0.00,28.92,15.252,1.05,0.09,1.14,75,19.25,140,20.39,3.08,0.00,3.08,0.00,0.00,0.00,3.08,0.00,3.08,506.88,744.56,1251.44,0.25,52.79,505.91,558.95,506.74,744.46,1251.20,0.00,52.79,505.91,558.70,0.14,0.10,0.24,0.25,0.00,0.00,0.25,6.10,7.77,13.87,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.02,0.02,0.38,0.00,0.38,0.00,0.00,0.00,0.38,0.00,0.38,166.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.38,0.00,0.00,0.00,0.38,0.00,0.38,166.51,542.09,0.02,542.11,756.74,0.00,756.74,1298.83,0.02,1298.85
CA,06,Lake County,033,06033,2010,64.665,25.350,13.370,38.720,3.66,0.00,3.66,4.41,0.00,4.41,8.07,0.00,8.07,25.945,1.64,0.31,1.95,75,6.40,165,8.35,0.88,0.00,0.88,0.08,0.00,0.08,0.96,0.00,0.96,22.40,10.28,32.68,5.67,9.83,1.54,17.04,22.38,10.27,32.65,5.39,9.83,1.54,16.76,0.02,0.01,0.03,0.28,0.00,0.00,0.28,0.03,0.04,0.07,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.04,0.07,0.11,0.02,0.00,0.02,0.06,0.07,0.13,0.00,6.99,6.99,0.00,0.00,0.00,0.00,6.99,6.99,1243.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.99,6.99,0.00,0.00,0.00,0.00,6.99,6.99,1243.84,28.65,7.06,35.71,15.14,0.00,15.14,43.79,7.06,50.85
CA,06,Lassen County,035,06035,2010,34.895,16.680,0.000,16.680,7.26,0.00,7.26,0.00,0.00,0.00,7.26,0.00,7.26,18.215,0.47,0.09,0.56,31,3.52,211,4.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.60,119.32,175.92,19.44,0.00,75.26,94.70,56.39,119.18,175.57,19.29,0.00,75.26,94.55,0.21,0.14,0.35,0.15,0.00,0.00,0.15,0.32,0.40,0.72,0.00,,0.00,17.28,,17.28,17.28,0.00,17.28,0.03,0.04,0.07,0.01,0.00,0.01,0.04,0.04,0.08,0.78,0.01,0.79,0.00,0.00,0.00,0.78,0.01,0.79,231.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.01,0.79,0.00,0.00,0.00,0.78,0.01,0.79,231.66,65.46,0.05,65.51,137.10,0.00,137.10,202.56,0.05,202.61
CA,06,Los Angeles County,037,06037,2010,9818.605,3426.890,5815.810,9242.700,597.31,1.05,598.36,774.22,0.00,774.22,1371.53,1.05,1372.58,575.905,31.21,9.23,40.44,70,927.69,100,968.13,103.27,0.00,103.27,0.00,0.00,0.00,103.27,0.00,103.27,62.42,28.91,91.33,29.10,1.15,4.61,34.86,44.51,17.31,61.82,19.13,1.15,4.61,24.89,17.91,11.60,29.51,9.97,0.00,0.00,9.97,0.24,0.32,0.56,0.06,,0.06,0.00,,0.00,0.06,0.00,0.06,0.04,94.38,94.42,0.00,0.00,0.00,0.04,94.38,94.42,0.09,0.00,0.09,0.00,1361.26,1361.26,0.09,1361.26,1361.35,6855.84,0.00,0.00,0.00,0.00,1361.26,1361.26,0.00,1361.26,1361.26,4485.72,0.09,0.00,0.09,0.00,0.00,0.00,0.09,0.00,0.09,2370.12,794.64,95.43,890.07,812.68,1361.26,2173.94,1607.32,1456.69,3064.01
CA,06,Madera County,039,06039,2010,150.865,99.130,1.350,100.480,21.46,0.00,21.46,0.57,0.00,0.57,22.03,0.00,22.03,50.385,2.78,0.34,3.12,62,13.74,137,16.86,4.57,0.00,4.57,0.00,0.00,0.00,4.57,0.00,4.57,351.21,360.77,711.98,8.82,243.18,45.84,297.84,350.00,359.94,709.94,8.03,243.18,45.84,297.05,1.21,0.83,2.04,0.79,0.00,0.00,0.79,3.08,3.92,7.00,0.01,,0.01,0.00,,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.82,383.11,0.00,383.11,365.60,0.00,365.60,748.71,0.00,748.71
CA,06,Marin County,041,06041,2010,252.409,7.959,239.407,247.366,0.94,0.00,0.94,31.08,0.00,31.08,32.02,0.00,32.02,5.043,0.31,0.07,0.38,75,21.86,88,22.24,0.28,0.00,0.28,0.00,0.00,0.00,0.28,0.00,0.28,6.46,2.58,9.04,0.69,0.00,0.00,0.69,6.09,2.33,8.42,0.00,0.00,0.00,0.00,0.37,0.25,0.62,0.69,0.00,0.00,0.69,0.45,0.58,1.03,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.02,0.00,0.02,0.05,0.05,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.47,0.05,8.52,34.33,0.00,34.33,42.80,0.05,42.85
CA,06,Mariposa County,043,06043,2010,18.251,2.340,2.450,4.790,1.12,0.00,1.12,0.44,0.00,0.44,1.56,0.00,1.56,13.461,0.77,0.24,1.01,75,0.47,98,1.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.40,0.03,2.43,0.05,0.00,0.70,0.75,2.35,0.00,2.35,0.00,0.00,0.70,0.70,0.05,0.03,0.08,0.05,0.00,0.00,0.05,0.14,0.18,0.32,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.43,0.00,4.43,0.89,0.00,0.89,5.32,0.00,5.32
CA,06,Mendocino County,045,06045,2010,87.841,21.700,40.240,61.940,5.93,0.00,5.93,3.91,0.00,3.91,9.84,0.00,9.84,25.901,1.63,0.31,1.94,75,5.57,90,7.51,3.35,0.00,3.35,0.00,0.00,0.00,3.35,0.00,3.35,26.83,38.75,65.58,16.15,18.61,5.43,40.19,26.72,38.67,65.39,15.96,18.61,5.43,40.00,0.11,0.08,0.19,0.19,0.00,0.00,0.19,0.21,0.26,0.47,0.00,,0.00,0.22,,0.22,0.22,0.00,0.22,0.04,0.07,0.11,0.02,0.00,0.02,0.06,0.07,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.99,0.07,38.06,43.47,0.00,43.47,81.46,0.07,81.53
CA,06,Merced County,047,06047,2010,255.793,198.000,7.390,205.390,48.70,0.00,48.70,1.73,0.00,1.73,50.43,0.00,50.43,50.403,3.49,0.29,3.78,75,36.95,180,40.73,5.63,0.00,5.63,0.00,0.00,0.00,5.63,0.00,5.63,393.17,981.10,1374.27,64.18,98.90,450.26,613.34,392.92,980.93,1373.85,63.88,98.90,450.26,613.04,0.25,0.17,0.42,0.30,0.00,0.00,0.30,10.64,13.55,24.19,0.66,,0.66,35.00,,35.00,35.66,0.00,35.66,0.23,0.36,0.59,0.09,0.00,0.09,0.32,0.36,0.68,0.03,0.00,0.03,0.00,0.00,0.00,0.03,0.00,0.03,8.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.00,0.00,0.00,0.03,0.00,0.03,8.27,462.55,0.36,462.91,1031.76,0.00,1031.76,1494.31,0.36,1494.67
CA,06,Modoc County,049,06049,2010,9.686,4.250,0.140,4.390,1.27,0.00,1.27,0.02,0.00,0.02,1.29,0.00,1.29,5.296,0.36,0.04,0.40,76,0.72,164,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.70,190.23,252.93,81.33,0.00,57.86,139.19,62.60,190.17,252.77,81.24,0.00,57.86,139.10,0.10,0.06,0.16,0.09,0.00,0.00,0.09,0.41,0.52,0.93,0.30,,0.30,5.64,,5.64,5.94,0.00,5.94,0.01,0.02,0.03,0.01,0.00,0.01,0.02,0.02,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.05,0.02,65.07,196.46,0.00,196.46,261.51,0.02,261.53
CA,06,Mono County,051,06051,2010,14.202,2.940,8.950,11.890,1.45,0.00,1.45,1.53,0.00,1.53,2.98,0.00,2.98,2.312,0.09,0.03,0.12,52,1.63,137,1.75,0.03,0.00,0.03,0.00,0.00,0.00,0.03,0.00,0.03,51.56,162.89,214.45,70.11,0.00,1.35,71.46,51.40,162.77,214.17,69.96,0.00,1.35,71.31,0.16,0.12,0.28,0.15,0.00,0.00,0.15,0.05,0.06,0.11,0.00,,0.00,11.94,,11.94,11.94,0.00,11.94,0.03,0.04,0.07,0.01,0.00,0.01,0.04,0.04,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.21,0.04,53.25,176.46,0.00,176.46,229.67,0.04,229.71
